iter	Passed	Remaining
0	227	205848
1	369	166650
2	510	153523
3	653	147308
4	787	141773
5	929	139283
6	1062	136266
7	1198	134341
8	1337	133151
9	1469	131511
10	1602	130231
11	1732	128904
12	1861	127754
13	1991	126768
14	2123	126003
15	2255	125296
16	2386	124651
17	2525	124461
18	2663	124180
19	2794	123663
20	2932	123425
21	3067	123107
22	3199	122692
23	3330	122266
24	3464	121935
25	3594	121518
26	3725	121155
27	3857	120835
28	3990	120544
29	4122	120243
30	4257	120027
31	4390	119766
32	4521	119483
33	4654	119248
34	4791	119102
35	4922	118821
36	5052	118525
37	5183	118262
38	5312	117959
39	5444	117744
40	5577	117526
41	5708	117297
42	5839	117053
43	5969	116815
44	6101	116607
45	6232	116377
46	6363	116173
47	6495	115965
48	6625	115750
49	6763	115649
50	6894	115450
51	7026	115256
52	7156	115047
53	7287	114844
54	7417	114632
55	7549	114451
56	7678	114236
57	7810	114059
58	7942	113886
59	8073	113708
60	8219	113722
61	8363	113710
62	8499	113592
63	8636	113485
64	8770	113341
65	8920	113400
66	9074	113503
67	9221	113509
68	9354	113338
69	9487	113169
70	9619	112998
71	9750	112804
72	9882	112634
73	10015	112476
74	10147	112296
75	10282	112163
76	10414	111991
77	10548	111836
78	10679	111657
79	10813	111516
80	10949	111384
81	11083	111236
82	11216	111085
83	11349	110931
84	11483	110783
85	11617	110636
86	11748	110465
87	11881	110309
88	12015	110161
89	12145	109984
90	12279	109841
91	12409	109665
92	12540	109496
93	12674	109349
94	12806	109196
95	12943	109078
96	13077	108933
97	13206	108755
98	13341	108622
99	13475	108478
100	13608	108330
101	13741	108182
102	13874	108028
103	14005	107866
104	14138	107719
105	14268	107551
106	14400	107395
107	14533	107253
108	14663	107082
109	14796	106939
110	14928	106783
111	15066	106675
112	15200	106534
113	15329	106366
114	15464	106234
115	15597	106087
116	15728	105929
117	15860	105784
118	15993	105635
119	16121	105463
120	16253	105311
121	16388	105184
122	16520	105034
123	16653	104892
124	16788	104761
125	16919	104608
126	17056	104490
127	17192	104362
128	17322	104205
129	17457	104071
130	17590	103933
131	17724	103796
132	17855	103643
133	17987	103492
134	18120	103351
135	18252	103207
136	18383	103054
137	18518	102926
138	18648	102769
139	18778	102613
140	18910	102463
141	19041	102313
142	19177	102190
143	19308	102042
144	19442	101906
145	19574	101759
146	19707	101623
147	19837	101467
148	19971	101332
149	20102	101184
150	20235	101042
151	20368	100902
152	20502	100769
153	20634	100627
154	20767	100488
155	20900	100349
156	21037	100228
157	21173	100106
158	21307	99970
159	21440	99831
160	21573	99695
161	21706	99552
162	21839	99414
163	21971	99273
164	22105	99139
165	22235	98986
166	22369	98854
167	22508	98743
168	22642	98607
169	22772	98458
170	22907	98327
171	23040	98190
172	23172	98048
173	23308	97921
174	23438	97772
175	23582	97680
176	23715	97542
177	23845	97389
178	23981	97263
179	24114	97127
180	24245	96982
181	24382	96860
182	24512	96709
183	24644	96569
184	24776	96427
185	24911	96299
186	25042	96151
187	25174	96012
188	25310	95885
189	25441	95740
190	25573	95598
191	25704	95454
192	25832	95299
193	25966	95167
194	26098	95024
195	26232	94893
196	26366	94759
197	26498	94617
198	26633	94487
199	26765	94349
200	26897	94208
201	27029	94066
202	27161	93929
203	27294	93792
204	27437	93689
205	27574	93566
206	27707	93430
207	27843	93301
208	27975	93162
209	28108	93024
210	28242	92891
211	28372	92747
212	28504	92604
213	28642	92484
214	28773	92344
215	28908	92213
216	29043	92083
217	29175	91942
218	29310	91813
219	29451	91702
220	29583	91561
221	29714	91417
222	29848	91285
223	29983	91154
224	30117	91021
225	30248	90879
226	30381	90744
227	30514	90605
228	30645	90464
229	30778	90327
230	30913	90198
231	31047	90065
232	31183	89936
233	31313	89791
234	31447	89660
235	31587	89541
236	31718	89401
237	31851	89263
238	31984	89127
239	32115	88986
240	32251	88859
241	32385	88724
242	32517	88585
243	32649	88448
244	32783	88316
245	32917	88180
246	33048	88039
247	33180	87901
248	33313	87766
249	33445	87627
250	33584	87508
251	33717	87370
252	33851	87238
253	33986	87105
254	34117	86967
255	34252	86834
256	34383	86695
257	34516	86558
258	34649	86422
259	34781	86285
260	34916	86154
261	35049	86017
262	35182	85883
263	35316	85749
264	35448	85611
265	35583	85481
266	35719	85352
267	35853	85218
268	35986	85083
269	36118	84944
270	36251	84809
271	36385	84676
272	36520	84546
273	36660	84425
274	36793	84289
275	36926	84153
276	37059	84019
277	37191	83881
278	37324	83746
279	37460	83617
280	37592	83478
281	37731	83357
282	37864	83222
283	38000	83092
284	38132	82955
285	38263	82816
286	38397	82681
287	38530	82546
288	38664	82413
289	38797	82277
290	38929	82140
291	39068	82017
292	39201	81881
293	39331	81740
294	39465	81607
295	39598	81470
296	39736	81345
297	39874	81221
298	40007	81085
299	40137	80943
300	40274	80816
301	40405	80677
302	40535	80535
303	40673	80410
304	40806	80274
305	40937	80136
306	41070	80000
307	41206	79870
308	41339	79734
309	41472	79601
310	41608	79470
311	41740	79332
312	41881	79212
313	42015	79079
314	42146	78941
315	42281	78809
316	42416	78678
317	42548	78541
318	42679	78401
319	42811	78265
320	42945	78131
321	43077	77994
322	43212	77863
323	43344	77726
324	43478	77592
325	43611	77456
326	43745	77323
327	43887	77204
328	44023	77074
329	44156	76939
330	44290	76805
331	44423	76670
332	44556	76536
333	44693	76406
334	44827	76273
335	44960	76137
336	45094	76005
337	45226	75867
338	45360	75734
339	45495	75602
340	45628	75467
341	45760	75331
342	45899	75205
343	46034	75073
344	46169	74941
345	46305	74811
346	46439	74677
347	46571	74541
348	46708	74412
349	46844	74281
350	46980	74150
351	47114	74017
352	47248	73884
353	47385	73755
354	47519	73621
355	47652	73486
356	47785	73350
357	47920	73218
358	48060	73095
359	48197	72965
360	48328	72827
361	48464	72696
362	48599	72564
363	48733	72431
364	48869	72299
365	49006	72171
366	49142	72039
367	49278	71908
368	49411	71773
369	49546	71641
370	49683	71512
371	49816	71377
372	49950	71242
373	50089	71116
374	50225	70985
375	50361	70853
376	50497	70722
377	50632	70590
378	50764	70454
379	50901	70324
380	51038	70195
381	51173	70062
382	51309	69930
383	51445	69800
384	51588	69677
385	51721	69542
386	51858	69413
387	51997	69284
388	52139	69162
389	52275	69029
390	52409	68896
391	52548	68768
392	52683	68635
393	52816	68500
394	52953	68369
395	53088	68237
396	53225	68107
397	53362	67976
398	53500	67847
399	53634	67713
400	53770	67581
401	53905	67448
402	54037	67312
403	54178	67186
404	54312	67052
405	54447	66919
406	54569	66770
407	54705	66638
408	54842	66508
409	54977	66375
410	55114	66244
411	55246	66108
412	55383	65977
413	55517	65843
414	55652	65710
415	55786	65575
416	55922	65443
417	56060	65314
418	56199	65186
419	56344	65064
420	56496	64951
421	56633	64820
422	56768	64686
423	56904	64554
424	57037	64419
425	57170	64283
426	57308	64153
427	57445	64022
428	57581	63889
429	57718	63758
430	57850	63622
431	57987	63490
432	58126	63362
433	58264	63231
434	58401	63100
435	58538	62968
436	58673	62835
437	58809	62703
438	58947	62572
439	59082	62439
440	59218	62306
441	59351	62171
442	59488	62039
443	59620	61903
444	59758	61772
445	59894	61640
446	60039	61517
447	60240	61450
448	60360	61301
449	60499	61171
450	60633	61037
451	60764	60899
452	60899	60764
453	61034	60630
454	61144	60472
455	61281	60341
456	61413	60203
457	61545	60067
458	61678	59931
459	61814	59798
460	61953	59668
461	62064	59512
462	62201	59380
463	62312	59223
464	62433	59076
465	62574	58948
466	62711	58817
467	62847	58684
468	62983	58551
469	63114	58414
470	63225	58259
471	63363	58128
472	63495	57991
473	63629	57857
474	63764	57724
475	63900	57591
476	64033	57455
477	64146	57302
478	64283	57171
479	64396	57017
480	64540	56891
481	64674	56757
482	64790	56607
483	64901	56453
484	65039	56323
485	65174	56189
486	65287	56037
487	65424	55905
488	65560	55773
489	65694	55639
490	65832	55508
491	65966	55374
492	66105	55244
493	66238	55109
494	66372	54975
495	66513	54846
496	66632	54700
497	66769	54568
498	66907	54437
499	67039	54301
500	67173	54167
501	67305	54031
502	67437	53896
503	67572	53763
504	67705	53628
505	67844	53497
506	67956	53346
507	68093	53214
508	68204	53062
509	68338	52929
510	68472	52795
511	68615	52667
512	68753	52537
513	68891	52405
514	69031	52276
515	69168	52144
516	69301	52009
517	69438	51877
518	69572	51743
519	69706	51609
520	69840	51475
521	69976	51343
522	70108	51207
523	70244	51074
524	70376	50939
525	70513	50807
526	70657	50679
527	70791	50546
528	70901	50394
529	71015	50246
530	71149	50112
531	71287	49981
532	71424	49850
533	71560	49717
